position,question_id,category,source,answer,final_prediction,last_correct_decile,peak_correct_probability,final_choice_probability_mass,flip_count,trace_token_count,question
722,799,business,stemez-Business,J,D,90,0.7236691676212135,0.7975612474070872,5,27827,"Ms. Chen purchased a used car, worth $1650, on the installment plan, paying $50 down and $1,840 in monthly installment payments over a period of two years. What annual interest rate did she pay?"
589,665,business,stemez-Business,C,H,80,0.9460373726840048,0.5560764838128085,6,12023,"A drama guild is renovating an old theater, hoping to use it for 15 years. The guild can follow one of two plans to finance the work: Plan A is to use $5,000 collected from guild members to pay for a renovation job which would be done immediately and would last 15 years. Plan B is to borrow $2,000 the year before the theater opens, and then in the 5th and 10th years of the theater's life to renovate it; each job will last five years. Interest is 6% for both plans. (a) Which plan should the guild follow? (b) If, in Plan B, the 2nd and 3rd renovation jobs will cost $3,000 each and the guild will not be able to borrow the money for any of the three jobs (i.e., the members will have to contribute), which plan should the guild follow?"
6813,6980,economics,ori_mmlu-high_school_microeconomics,G,F,60,0.9997023038401339,0.5782294276153432,2,7463,Which of the following is true?
10953,11174,philosophy,ori_mmlu-logical_fallacies,C,A,60,0.997944179358927,0.994014595312475,2,2364,Arguing that someone couldn't have done something good because she holds a particular position commits the fallacy of
2099,2199,psychology,ori_mmlu-professional_psychology,D,H,60,0.6754607621303818,0.9925070916327916,5,4835,"With regard to the effects of crowding, which of the following is true?"
1049,1130,law,ori_mmlu-professional_law,A,D,40,0.9986568871954704,0.9999856544561128,3,646,"A woman duly executed a will under which she devised her farm to her nephew and bequeathed the residue of her estate to her niece. For 12 years after executing her will, the woman lived on her farm. Then she sold it and used the sales proceeds to purchase a home in the city, in which she lived until she died, never having changed her will. Following the admission of the will to probate, both the nephew and the niece claimed ownership of the home. There is no applicable statute. Who is the owner of the home?"
1099,1181,law,ori_mmlu-professional_law,H,C,40,0.7713219210391803,0.7526578832157811,4,705,"Knowing that a homeowner was away on vacation, two men decided to burglarize her home. Since they didn't have a car, the men asked the defendant to drive them to the home. The two men did not tell the defendant what they intended to do there. The defendant drove them to the house. While the defendant waited in the car, the two men entered the home by using a master key to unlock the front door. They then stole several items of expensive jewelry from the bedroom. Concealing the jewelry in their pockets, they left the house and got back into the defendant's car. Unaware of the theft, the defendant drove the two men back to their apartments. The next day, the two men pawned the jewelry for $5,000. Two weeks later, the two men gave the defendant $500 and told him for the first time about the burglary. The defendant kept the money and did not report the theft to the police. If the defendant is subsequently prosecuted, he should be found"
5663,5820,other,ori_mmlu-miscellaneous,E,D,30,0.9994187159805911,0.9629529360167353,2,4381,A kindergarten teacher has students determine the following. • How many students are absent that day • If there are enough snack cups for each student to have one during snack time • How many balls are taken outside during recess and how many are brought back inside after recess. Which of the following concepts is most closely aligned with the determinations the teacher is having the students make?
4614,4746,history,ori_mmlu-high_school_us_history,C,A,30,0.9990352172583102,0.955713586623821,2,3429,"This question refers to the following information.
""We have witnessed for more than a quarter of a century the struggles of the two great political parties for power and plunder, while grievous wrongs have been inflicted upon the suffering people. We charge that the controlling influences dominating both these parties have permitted the existing dreadful conditions to develop without serious effort to prevent or restrain them. Neither do they now promise us any substantial reform. They have agreed together to ignore, in the coming campaign, every issue but one. They propose to drown the outcries of a plundered people with the uproar of a sham battle over the tariff, so that capitalists, corporations, national banks, rings, trusts, watered stock, the demonetization of silver and the oppressions of the usurers may all be lost sight of. They propose to sacrifice our homes, lives, and children on the altar of mammon; to destroy the multitude in order to secure corruption funds from the millionaires.
""Assembled on the anniversary of the birthday of the nation, and filled with the spirit of the grand general and chief who established our independence, we seek to restore the government of the Republic to the hands of 'the plain people,' with which class it originated. We assert our purposes to be identical with the purposes of the National Constitution; to form a more perfect union and establish justice, insure domestic tranquillity, provide for the common defence, promote the general welfare, and secure the blessings of liberty for ourselves and our posterity.""
Populist Party Platform, 1892
The sentiments expressed in the excerpt above about political parties are most similar to those expressed by"
2603,2714,psychology,ori_mmlu-professional_psychology,B,A,20,0.9986844702478576,0.964765034856291,2,3674,"Research comparing heterogeneous and homogeneous work groups has found that, in general, heterogeneous groups:"
